original_index,text,is_antisemitic,keyword,prediction,description,model,max_tokens,temperature,usage,text_clean
3417,RT : Israel is using internationally prohibited bullets known as Expanding or Dumdum Bullets against Palestinians.  The bullets expand to combat over-penetration and to produce a larger wound to destroy organs and break bones #GazaUnderAttack #IsraeliTerrorism https://t.co/4lW3YWgGNz,1,Israel,False,"This text criticizes specific Israeli military tactics and weapons use, which constitutes criticism of Israel similar to that leveled against other countries. It does not contain antisemitic stereotypes, conspiracy theories about Jews, or target Jews as a collective, making it legitimate political criticism rather than antisemitism according to the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3844, 'completion_tokens': 87, 'total_tokens': 3931}",rt israel is using internationally prohibited bullets known as expanding or dumdum bullets against palestinians the bullets expand to combat overpenetration and to produce a larger wound to destroy organs and break bones gazaunderattack israeliterrorism
3274,"RT : The Israeli Interior Ministry maintains a list of demographics in Gaza. So during approval process to bomb, the info can be easily available to them, maybe explaining the disproportionate targeting of homes with large families, wiping them out entirely.  https://t.co/unpqNNGJ2z",1,Israel,False,"The text criticizes Israeli military targeting practices and alleges disproportionate harm to Palestinian families. While critical of Israel, this represents criticism of specific military policies similar to criticism that could be leveled against any other country, which the IHRA definition explicitly states cannot be regarded as antisemitic.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3833, 'completion_tokens': 81, 'total_tokens': 3914}",rt the israeli interior ministry maintains a list of demographics in gaza so during approval process to bomb the info can be easily available to them maybe explaining the disproportionate targeting of homes with large families wiping them out entirely
1876,Such growing noble sentiments by US Jews/Israelis may be the only light at the end of the tunnel to this ongoing tragedy https://t.co/RpWJHaKb91,1,Jews,False,"The text expresses positive sentiment toward US Jews/Israelis, describing their sentiments as 'noble' and representing hope ('light at the end of the tunnel'). This is praise rather than hatred, stereotyping, or any form of antisemitic rhetoric as defined by the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3810, 'completion_tokens': 84, 'total_tokens': 3894}",such growing noble sentiments by us jewsisraelis may be the only light at the end of the tunnel to this ongoing tragedy
3434,Retweet and show the world if you agree with me that Israel is a terrorist State and killing so many Innocent #Palestine #GazaUnderAttack  #IsraeliTerrorism #TelAviv   #AllahuAkbar #Hamas #IsraeliTerrorism  #PalestinianLivesMatter  #ÙÙ„Ø³Ø·ÙŠÙ†_Ù‚Ø¶ÙŠØªÙ†Ø§_Ø§Ù„Ø£ÙˆÙ„Ù‰  #FreePalestine https://t.co/hhQ7feQduJ,1,Israel,False,"The text criticizes Israel's actions and calls it a 'terrorist State' but this constitutes criticism of Israel similar to that leveled against other countries. The text does not target Jews as a people, employ antisemitic stereotypes, or deny Jewish self-determination - it focuses on opposing specific Israeli policies and actions.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3948, 'completion_tokens': 86, 'total_tokens': 4034}",retweet and show the world if you agree with me that israel is a terrorist state and killing so many innocent palestine gazaunderattack israeliterrorism telaviv allahuakbar hamas israeliterrorism palestinianlivesmatter ùùø³øùšù_ùøùšøªùø_øùøùˆùù freepalestine
2134,"Modern Judaism might worship a god called Hashem (Meaning The Name, what Jews called Yahweh). But it denies the nature of the true God, though they call their god Yahweh, he is not the true Yahweh who is Triune. Modern Jews (the religion) do not worship the same God as Christians https://t.co/SxtylegOrz",1,Jews,False,"This text presents a theological argument about differences between Jewish and Christian conceptions of God, specifically regarding the Trinity. While it makes claims about Jewish religious beliefs, it does not contain hatred toward Jews, employ antisemitic stereotypes, or make mendacious allegations about Jewish people as outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3854, 'completion_tokens': 84, 'total_tokens': 3938}",modern judaism might worship a god called hashem meaning the name what jews called yahweh but it denies the nature of the true god though they call their god yahweh he is not the true yahweh who is triune modern jews the religion do not worship the same god as christians
3433,"RT : ""Whatâ€™s critical to know is that these plans are ongoing, even though Kushner is no longer in the White House. The biggest example of this is what former Trump officials and GOP members are currently doing in Israel."" -- https://t.co/lfqaCPsQSB",1,Israel,False,"The text discusses former Trump officials and GOP members' activities in Israel but does not contain antisemitic content according to the IHRA definition. It mentions political figures and their ongoing plans related to Israel without employing antisemitic stereotypes, conspiracy theories, or hatred toward Jews.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3836, 'completion_tokens': 77, 'total_tokens': 3913}",rt whatâs critical to know is that these plans are ongoing even though kushner is no longer in the white house the biggest example of this is what former trump officials and gop members are currently doing in israel
901,China is doing the same thing he did with jews but this time they are Muslims so no one cares https://t.co/WPjZdIUKgW,1,Jews,False,"The text compares China's treatment of Muslims to historical persecution of Jews, but does not express hatred toward Jews or make antisemitic allegations. It appears to criticize indifference to persecution rather than targeting Jews with negative stereotypes or conspiracy theories.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3805, 'completion_tokens': 71, 'total_tokens': 3876}",china is doing the same thing he did with jews but this time they are muslims so no one cares
308,"Surprising absolutely nobody, normalization of Israel-Gulf relations turns out to be a direct path to...normalization of occupation/annexation. https://t.co/KpNy8smtPH",1,Israel,False,"The text criticizes Israeli policies regarding occupation/annexation and normalization with Gulf states, which constitutes legitimate political criticism of Israel similar to criticism that could be leveled against any other country. It does not contain antisemitic stereotypes, conspiracy theories about Jews, or apply double standards specific to Israel as a Jewish state.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3812, 'completion_tokens': 86, 'total_tokens': 3898}",surprising absolutely nobody normalization of israelgulf relations turns out to be a direct path tonormalization of occupationannexation
3425,RT : WE MUST GET IN TOUCH WITH OUR REPS TO ASK THEM TO PREVENT THIS SALE BY ANY MEANS POSSIBLE. A $735 million weapons sale to Israel. Approving a weapons sale on the low down while â€œcalling for cease fireâ€ out loud.  The US is aiding Israel in the genocide of the Palestinian people. https://t.co/13eaYJycHI,1,Israel,False,"The text criticizes U.S. weapons sales to Israel and uses the term 'genocide' regarding Palestinian people, but this constitutes criticism of Israeli policy and U.S. foreign policy rather than targeting Jews as a people. The criticism is focused on specific government actions and policies, not on Jews collectively or using antisemitic stereotypes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3867, 'completion_tokens': 90, 'total_tokens': 3957}",rt we must get in touch with our reps to ask them to prevent this sale by any means possible a 735 million weapons sale to israel approving a weapons sale on the low down while âœcalling for cease fireâ out loud the us is aiding israel in the genocide of the palestinian people
3400,"RT : The ethnic cleansing in #SheikhJarrah is illegal and a war crime, EVEN IF the Israeli Supreme Court green-lights it. East Jerusalem is occupied Palestinian land &amp; Israel has ZERO legitimate claim to it or authority over it. #SaveSheikhJarrah https://t.co/yQPU5BOLT9",1,Israel,False,"The text criticizes Israeli actions in Sheikh Jarrah and disputes Israel's legal authority over East Jerusalem, but this constitutes criticism of Israeli policy similar to criticism that could be leveled against any other country. The text does not employ antisemitic stereotypes, conspiracy theories about Jews, or apply double standards that wouldn't be applied to other nations.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3846, 'completion_tokens': 91, 'total_tokens': 3937}",rt the ethnic cleansing in sheikhjarrah is illegal and a war crime even if the israeli supreme court greenlights it east jerusalem is occupied palestinian land amp israel has zero legitimate claim to it or authority over it savesheikhjarrah
793,I liked a  video https://t.co/G9RAFtWqIX ISRAELI : Confesses Black Americans Are The Real Jews!!,1,Jews,False,"The text shares a video claiming Black Americans are the 'real Jews' but does not contain hatred toward Jews, stereotypical allegations about Jewish people, or other manifestations outlined in the IHRA definition. While it may promote alternative religious/historical claims, it does not meet the criteria for antisemitism as defined by IHRA.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3801, 'completion_tokens': 90, 'total_tokens': 3891}",i liked a video israeli confesses black americans are the real jews
3362,RT : â€œHow many more Palestinian children have to be killed?â€  MP Richard Burgon urged the UK government to impose sanctions on Israel for continued violence and to recognise the state of Palestine https://t.co/5p8HIrN1DU,1,Israel,False,"The text criticizes Israeli actions regarding Palestinian children and calls for sanctions and recognition of Palestine. This constitutes criticism of Israel similar to that leveled against other countries, which the IHRA definition explicitly states 'cannot be regarded as antisemitic.' The text does not contain stereotypes about Jews, conspiracy theories, or other antisemitic elements defined by IHRA.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3826, 'completion_tokens': 96, 'total_tokens': 3922}",rt âœhow many more palestinian children have to be killedâ mp richard burgon urged the uk government to impose sanctions on israel for continued violence and to recognise the state of palestine
3217,Just a reminder... South Africa - 1967 Terrorism Act. https://t.co/HZJStFzGXA Israel - 2021...,1,Israel,False,"The text appears to be making a comparison between South Africa's 1967 Terrorism Act and something related to Israel in 2021, but it does not contain explicit antisemitic content according to the IHRA definition. While it may be attempting to draw parallels between apartheid South Africa and Israel, the text is too brief and vague to constitute a clear antisemitic statement under the guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3804, 'completion_tokens': 104, 'total_tokens': 3908}",just a reminder south africa 1967 terrorism act israel 2021
