original_index,text,biased,keyword,prediction,description,model,max_tokens,temperature,usage
1904,"In 1997:\n\n- Trump filed a lawsuit in U.S. District Court in Palm Beach, alleging that the town was discriminating against Mar-a-Lago, in part because it is open to Jews and African-Americans. \n\nIn 2021:\n\n- Sheldon Whitehouse (D-RI) is in an all-white club. https://t.co/3Vh27Kg2bS",0,Jews,False,"The text discusses Trump's lawsuit alleging discrimination and mentions Mar-a-Lago being open to Jews and African-Americans, and compares this to a senator's club membership. While it mentions Jews, it does not express hatred toward Jews, employ antisemitic stereotypes, or make any of the specific antisemitic allegations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3869, 'completion_tokens': 95, 'total_tokens': 3964}"
1719,Thread collecting the coverage of and by Asian-American Jews this past week: https://t.co/xmUyoqpivC,0,Jews,False,"This text is simply sharing a thread about coverage of and by Asian-American Jews, which is neutral informational content. There are no antisemitic allegations, stereotypes, conspiracy theories, or other manifestations of hatred toward Jews as defined by the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3798, 'completion_tokens': 75, 'total_tokens': 3873}"
3174,"We were told: “you can’t move the embassy in Israel to Jerusalem, there will be a war.” We did, and there wasn’t.   https://t.co/Qyi4Pz2VVE",0,Israel,False,"The text discusses moving an embassy to Jerusalem and mentions there was no war as a result. This is a factual statement about diplomatic policy and its outcomes, without expressing hatred toward Jews, employing antisemitic stereotypes, or making any of the specific antisemitic allegations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3816, 'completion_tokens': 83, 'total_tokens': 3899}"
815,He’s right. \n\n has desecrated  the memory of 6 million Jews murdered in the Holocaust. https://t.co/Ujr6OLzinE,0,Jews,False,"The text criticizes someone for allegedly desecrating Holocaust memory, which shows respect for Holocaust victims rather than antisemitism. The statement acknowledges the murder of 6 million Jews and treats Holocaust desecration as wrong, which aligns with opposing antisemitism rather than expressing it.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3809, 'completion_tokens': 79, 'total_tokens': 3888}"
3115,"Israel has begun delivering a fourth vaccine dose for people most vulnerable to coronavirus, becoming one of the first countries to do so as it prepares for a wave of infections driven by the omicron variant. https://t.co/3qOUJ3ZXf1",0,Israel,False,"This text is a factual news report about Israel's COVID-19 vaccination policy. It contains no negative characterizations of Jews, antisemitic stereotypes, conspiracy theories, or any other content that would qualify as antisemitic under the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3825, 'completion_tokens': 74, 'total_tokens': 3899}"
863,Dear  Jews in this video do NOT recognise the State of Israel on RELIGIOUS grounds.  Would Labour Party Expel if any of these Jews were members of Labour Party and expressed such religious views.  This is a Legal Question. https://t.co/3y95yy884Q,0,Jews,False,"The text discusses religious Jews who do not recognize Israel on religious grounds and poses a legal question about Labour Party policy. This represents legitimate criticism or discussion about Israel similar to what might be leveled against any other country, and does not contain antisemitic stereotypes, conspiracy theories, or hatred toward Jews.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3830, 'completion_tokens': 81, 'total_tokens': 3911}"
2111,"#OTD in 1942 German authorities in Warsaw issued an announcement reminding Poles that the penalty for aiding Jews who fled the ghettos was death. Jan Kostański and his mother, Władysława, disobeyed this order. They rescued Jan's future wife, Nacha Wierzbicka, and her family. https://t.co/0a2Zaeisfk",0,Jews,False,"This text is a historical commemoration of Polish rescuers who helped Jews during the Holocaust, specifically mentioning the Kostański family who saved the Wierzbicka family. The text presents Jews as victims deserving of rescue and portrays their helpers as heroes, which is the opposite of antisemitic rhetoric.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3859, 'completion_tokens': 86, 'total_tokens': 3945}"
889,"American Jews are overwhelmingly opposed to you &amp; your white nationalist agenda, because we know what a fascist dictator looks like . \n\nThat’s why we’re sounding the alarm on ICE, the concentration camps, &amp; the urgent need for all of us to take ACTION against you! https://t.co/yLcAetDhhb",0,Jews,False,"The text criticizes political policies and compares them to fascism and concentration camps, but does not target Jews with hatred, stereotypes, or conspiracy theories. The speaker identifies as Jewish ('we') and speaks on behalf of American Jews opposing certain policies, which is political criticism rather than antisemitic rhetoric.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3849, 'completion_tokens': 82, 'total_tokens': 3931}"
1885,"Israel is the only place where Muslims, Jews and Christians live peacefully and equally under the law. That’s what Hamas and the Ilhan Omar crowd are taking direct aim at. https://t.co/f8zhqvl4a2",0,Jews,False,"The text makes a political statement about Israel and criticizes Hamas and Ilhan Omar, but does not contain antisemitic content according to the IHRA definition. It does not make dehumanizing allegations about Jews, employ antisemitic stereotypes, or deny Jewish rights to self-determination.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3820, 'completion_tokens': 82, 'total_tokens': 3902}"
374,"86 days of hunger strike for Maher al-Akhras, a Palestinian imprisoned by Israel without charge or trial.\n\nIsrael holds 300+ Palestinians in administrative detention, where a military commander can ""hold detainees indefinitely based on secret information""\n\nhttps://t.co/c9KDnnFTS0",0,Israel,False,"The text criticizes Israel's administrative detention policy and reports on a Palestinian prisoner's hunger strike. This constitutes criticism of Israeli government policy similar to criticism that could be leveled against any other country's detention practices, which the IHRA definition explicitly states cannot be regarded as antisemitic.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3845, 'completion_tokens': 79, 'total_tokens': 3924}"
2457,Israeli and Arab media reports that Saudi and Israel are pressuring Trump to strike Iran before he leaves office. Completely disregarding US interest and the wellbeing of the American people.   Who needs enemies when you have friends like this?  https://t.co/5Q2ytEof6v,0,Israel,False,The text criticizes Israeli and Saudi foreign policy actions without making antisemitic allegations about Jews as a collective. It focuses on specific political actions by nation-states rather than employing antisemitic stereotypes or conspiracy theories about Jewish people.,anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3832, 'completion_tokens': 68, 'total_tokens': 3900}"
3368,RT : Bidenâ€™s obsession with reversing all of Donald Trumpâ€™s Middle East policies have emboldened Hamas and Iran.   Bidenâ€™s backward policies are endangering our ally Israel. https://t.co/XE2nWHAuaL,0,Israel,False,"This text criticizes Biden's Middle East policies and expresses support for Israel as an ally. It does not contain any antisemitic content according to the IHRA definition - no hatred toward Jews, stereotypes about Jews, or targeting of Jewish individuals or institutions is present.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3838, 'completion_tokens': 76, 'total_tokens': 3914}"
2978,�Holocaust�the destruction of European Jews�  A seven-chapter online course about the history of the #Holocaust.  Links to all chapters below. https://t.co/Law3fQRRMS,0,Jews,False,"This text appears to be promoting an educational course about Holocaust history. It uses factual language referring to 'the destruction of European Jews' and provides educational links, which is consistent with historical education rather than denial, distortion, or antisemitic content.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3812, 'completion_tokens': 72, 'total_tokens': 3884}"
2829,"Once a Leader of Germany said Jews were rich &amp; stole jobs of locals &amp; deserve persecution  World said ""?azi MURD�RER""  Few yrs back a journalist said Kashmiri Hindus were rich &amp; stole jobs of Locals &amp; deserved persecution  Ecosystem here said ""Liberal""  #ApologiseBarkha https://t.co/PrgOznwZVL",0,Jews,False,"The text draws a comparison between Nazi persecution of Jews and treatment of Kashmiri Hindus, but does not express hatred toward Jews or make antisemitic allegations. It appears to criticize perceived double standards in how persecution is characterized rather than promoting antisemitic views.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3866, 'completion_tokens': 76, 'total_tokens': 3942}"
1659,Joe Biden and Kamala Harris must call for an end to the Leftist attacks on 'Jews for Trump' supporters. https://t.co/4FHozvSGcK,0,Jews,False,"The text calls for protection of 'Jews for Trump' supporters from alleged attacks, which does not express hatred toward Jews or employ antisemitic stereotypes. Rather, it appears to advocate for the safety of a Jewish political group.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3810, 'completion_tokens': 67, 'total_tokens': 3877}"
1320,Charlamagne Tha God Says Viacom Dropping Nick Cannon Shows Jews ‘Have the Power'\n\nhttps://t.co/esmZHl8R4R\n\n#BlackAntisemitism,0,Jews,True,The text promotes the antisemitic stereotype that 'Jews have the power' which falls under IHRA guideline 2.1.2 regarding 'stereotypical allegations about Jews as such or the power of Jews as collective.' This perpetuates the harmful myth about Jewish control over media and societal institutions.,anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3824, 'completion_tokens': 87, 'total_tokens': 3911}"
2435,"RT : The new COVID relief bill contains $500,000,000 for Israel. https://t.co/oWJlLm1MzC",0,Israel,False,"The text simply states a factual claim about funding for Israel in a COVID relief bill without making any dehumanizing, demonizing, or stereotypical allegations about Jews. It does not employ antisemitic tropes, conspiracy theories, or apply double standards to Israel that wouldn't be applied to other countries receiving aid.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3802, 'completion_tokens': 87, 'total_tokens': 3889}"
2419,RT : Americans who reflexively say they support Israel need to see this: https://t.co/8xw4SZAQlC,0,Israel,False,"The text is a retweet encouraging Americans to view content about Israel, but contains no antisemitic language, stereotypes, or allegations against Jews. It appears to be political commentary about Israel policy rather than targeting Jews as a people or employing antisemitic tropes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3799, 'completion_tokens': 76, 'total_tokens': 3875}"
102,"Thank you, my dear friend, Narendra Modi for sending Hydroxychloroquine to Israel: Benjamin Netanyahu, Prime Minister of Israel #COVID19 (File pic) https://t.co/XN7V1tVO8z",0,Israel,False,"This text is a straightforward diplomatic statement expressing gratitude between two world leaders regarding medical supplies during COVID-19. It contains no antisemitic content, stereotypes, conspiracy theories, or negative characterizations of Jews or Israel according to the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3820, 'completion_tokens': 73, 'total_tokens': 3893}"
