text,is_antisemitic,prediction,original_index,ID,CreateDate,Username,description,keyword,original_text,error_type
"The world, including Canada, has given Israel a green light to take Palestinian land, destroy Palestinian homes, and strengthen a system of #Apartheid. Shame on us!",1,1,1017,1216559517887954945,2020-01-13 03:16:06+00:00,kelownascott,"The text characterizes Israel as an 'Apartheid' state, which according to guideline 2.1.7 constitutes denying the Jewish people their right to self-determination by claiming the existence of Israel is inherently racist. This falls under the IHRA definition's examples of contemporary antisemitism.",Israel,"The world, including Canada, has given Israel a green light to take Palestinian land, destroy Palestinian homes, and strengthen a system of #Apartheid. Shame on us!",true_positive
"The fact that two-thirds of America's youth do NOT know that 6 million Jews were murdered in the Holocaust is a major indictment of a FAILING educational system.  I learned in the 5th grade, in public school.",0,0,1469,1306266803195318274,2020-09-16 16:20:49+00:00,EarthImpi,"The text acknowledges the Holocaust as historical fact, stating that 6 million Jews were murdered, which directly contradicts Holocaust denial. The text expresses concern about lack of Holocaust education rather than denying or minimizing the genocide, making it not antisemitic according to the IHRA definition.",Jews,"The fact that two-thirds of America's youth do NOT know that 6 million Jews were murdered in the Holocaust is a major indictment of a FAILING educational system.  I learned in the 5th grade, in public school.",true_negative
"Among the Jews we mourn on #HolocaustMemorialDay, some were turned away by the US when they were poor, persecuted &amp; had nowhere else to turn. Today SCOTUS said the Trump Admin can deny immigrants admission based on wealth. They’re not exactly the same—but they’re both wrong.",0,0,659,1222211868095328256,2020-01-28 17:36:31+00:00,53DFL,"The text commemorates Holocaust victims and draws a parallel between historical US immigration policies and current ones, without making any antisemitic allegations about Jews. It expresses sympathy for Jewish Holocaust victims and criticizes immigration policies, which does not constitute antisemitism under the IHRA definition.",Jews,"Among the Jews we mourn on #HolocaustMemorialDay, some were turned away by the US when they were poor, persecuted &amp; had nowhere else to turn. Today SCOTUS said the Trump Admin can deny immigrants admission based on wealth. They’re not exactly the same—but they’re both wrong.",true_negative
Jews right to self determination is racist...... the stupidity of your comment is palpable,0,1,1194,1237378250306924549,2020-03-10 14:02:18+00:00,Savagemind125,"The text denies the Jewish people their right to self-determination by calling it 'racist,' which directly matches IHRA guideline 2.1.7 that states 'Denying the Jewish people their right to self-determination, e.g., by claiming that the existence of a State of Israel is a racist endeavor' is antisemitic.",Jews,@Bob_cart124 Jews right to self determination is racist...... the stupidity of your comment is palpable,false_positive
"""We believe Jews can't tell the difference between criticism of Israel and antisemitism.""\n\n""We believe Jews can tell the difference but conflate them anyway, knowing this is a dirty trick, in order to silence criticism of Israel.""",0,1,482,1236726449987563520,2020-03-08 18:52:17+00:00,Gilana25,"This text makes stereotypical allegations about Jews as a collective, claiming they either cannot distinguish between legitimate criticism and antisemitism or deliberately conflate them as a 'dirty trick.' This falls under IHRA guideline 2.1.2 regarding mendacious and stereotypical allegations about Jews as a collective group.",Jews,"@michel_ehrlich ""We believe Jews can't tell the difference between criticism of Israel and antisemitism.""\n\n""We believe Jews can tell the difference but conflate them anyway, knowing this is a dirty trick, in order to silence criticism of Israel.""",false_positive
5⃣   #Syria The crisis currently plaguing kikes (citation needed) will be due to the socialist revolution . Fad ? ➡ 👽 🌀 👏 👏 ☀ 🎀 🚗 ⏫ ♨ 🙇 🐠,1,1,926,1200272649164906497,2019-11-29 04:37:54+00:00,plive_calmer,"The text contains the antisemitic slur 'kikes' which is a derogatory term for Jewish people. This constitutes a manifestation of antisemitism as defined by IHRA, specifically falling under dehumanizing and stereotypical allegations about Jews.",Kikes,5⃣   #Syria The crisis currently plaguing kikes (citation needed) will be due to the socialist revolution . Fad ? ➡ 👽 🌀 👏 👏 ☀ 🎀 🚗 ⏫ ♨ 🙇 🐠,true_positive
"14 August 1942 | A day at the German #Auschwitz camp: 712 Jews deported from #Drancy were gassed at Birkenau, 60 Poles were shot at the execution wall of Block 11 at Auschwitz I &amp; 58 prisoners selected at the camp infirmary were killed with phenol injection into their hearts.",0,0,307,1161651776858103809,2019-08-14 14:52:20+00:00,RealBB7,"This text is a factual historical account documenting specific events that occurred at Auschwitz on August 14, 1942, including the murder of Jews and other prisoners. It does not express hatred toward Jews, employ antisemitic stereotypes, or deny the Holocaust - rather it acknowledges and documents the systematic killing of Jews by the Nazis.",Jews,"14 August 1942 | A day at the German #Auschwitz camp: 712 Jews deported from #Drancy were gassed at Birkenau, 60 Poles were shot at the execution wall of Block 11 at Auschwitz I &amp; 58 prisoners selected at the camp infirmary were killed with phenol injection into their hearts.",true_negative
"🗣 Jews in Yemen need your help.\n\n🗣 A militant group has been rounding up and threatening Yemenite Jews.\n\n🗣 Now, in response to the peace deal, Yemen’s hundreds of remaining Jews (once 55,000) are being forced to flee to UAE 🇦🇪\n\n🗣 We cannot be silent about this. Never again.",0,0,581,1295810737198239747,2020-08-18 19:52:09+00:00,UgoVolli,"This text expresses concern for the safety and persecution of Jews in Yemen, calling for help and awareness about their plight. It does not contain hatred toward Jews, stereotypes, or any of the antisemitic manifestations outlined in the IHRA definition - rather it advocates for Jewish welfare and safety.",Jews,"🗣 Jews in Yemen need your help.\n\n🗣 A militant group has been rounding up and threatening Yemenite Jews.\n\n🗣 Now, in response to the peace deal, Yemen’s hundreds of remaining Jews (once 55,000) are being forced to flee to UAE 🇦🇪\n\n🗣 We cannot be silent about this. Never again.",true_negative
RT : So it looks like Jews were taking part in the Wola massacre...,1,1,1371,1291592319313952769,2020-08-07 04:29:40+00:00,zygzak357,"The text makes a stereotypical allegation about Jews as a collective group being responsible for wrongdoing (the Wola massacre), which falls under IHRA guideline 2.1.3 that defines accusing Jews as a people of being responsible for real or imagined wrongdoing as antisemitic. The phrasing 'Jews were taking part' attributes collective responsibility to Jews as a group.",Jews,RT @polish_truth: So it looks like Jews were taking part in the Wola massacre...,true_positive
"�Judeo-Christian� isn�t a thing. It a) positions Jews &amp; Christians against Muslims, is Islamophobic b) elides Christian oppression &amp; murder of Jews over more than 1000 years &amp; c) ignores Jewish civilization worldwide &amp; facts of  key Jewish developments in Middle East &amp; N Africa.",0,0,1376,1263594333493583873,2020-05-21 22:15:40+00:00,mollyrva,"The text critiques the term 'Judeo-Christian' on academic and historical grounds, arguing it creates false divisions and erases historical persecution. This is scholarly criticism of a concept rather than expressing hatred toward Jews or employing antisemitic stereotypes, allegations, or conspiracy theories as defined by IHRA.",Jews,"�Judeo-Christian� isn�t a thing. It a) positions Jews &amp; Christians against Muslims, is Islamophobic b) elides Christian oppression &amp; murder of Jews over more than 1000 years &amp; c) ignores Jewish civilization worldwide &amp; facts of  key Jewish developments in Middle East &amp; N Africa.",true_negative
"This Holocaust Remembrance Day, we honor the six million Jews who were killed during the Holocaust &amp; we remind ourselves of our continuing responsibility to fight back against those who try to divide us. #YomHaShoah",0,0,277,1124066033193627649,2019-05-02 21:40:01+00:00,DawnMMorrison,"This text honors Holocaust victims and acknowledges the historical fact that six million Jews were murdered, which aligns with historical truth rather than denying it. The message promotes remembrance and unity against division, containing no antisemitic content, stereotypes, or Holocaust denial.",Jews,"This Holocaust Remembrance Day, we honor the six million Jews who were killed during the Holocaust &amp; we remind ourselves of our continuing responsibility to fight back against those who try to divide us. #YomHaShoah",true_negative
RT : Not much different than Nazis sending Jews to the gas chambers.,1,1,1356,1263116435334758400,2020-05-20 14:36:40+00:00,gretathegreek,"The text makes a comparison between contemporary actions and 'Nazis sending Jews to the gas chambers,' which constitutes a comparison to Nazi policies. According to IHRA guideline 2.1.10, drawing comparisons of contemporary policy to that of the Nazis is antisemitic when applied to characterize actions in ways that invoke Holocaust imagery.",Jews,RT @123RHGreen: Not much different than Nazis sending Jews to the gas chambers.,true_positive
It was pretty obvious the moment he admitted to being a zionazi,1,1,1515,1111718793678647296,2019-03-29 19:56:29+00:00,AshTheUncanny01,"The text uses the term 'zionazi' which combines 'Zionist' with 'Nazi', constituting a comparison of contemporary Israeli/Zionist policy to that of the Nazis. This falls under guideline 2.1.10 which explicitly identifies 'Drawing comparisons of contemporary Israeli policy to that of the Nazis' as an example of antisemitism.",ZioNazi,@AliDawow It was pretty obvious the moment he admitted to being a zionazi,true_positive
PSA to Jews: The only correct response when someone tells you “You don’t look Jewish” is “You don’t look antisemitic”.,0,0,202,1088281354687664128,2019-01-24 03:44:28+00:00,FairishGodmum,"This text does not express hatred toward Jews or employ antisemitic stereotypes. Instead, it appears to be advice for Jewish people on how to respond to comments about their appearance, suggesting a comeback that highlights the problematic nature of assumptions about Jewish appearance.",Jews,PSA to Jews: The only correct response when someone tells you “You don’t look Jewish” is “You don’t look antisemitic”.,true_negative
"Oh no, they just brought up Israel and the Jews...this is gonna get messy",0,0,404,1232495987626627072,2020-02-26 02:41:56+00:00,EmmasBugsBunny,"The text expresses anticipation that a discussion about Israel and Jews will become contentious, but does not contain any hatred toward Jews, stereotypes, conspiracy theories, or other antisemitic content as defined by the IHRA guidelines. It appears to be a neutral observation about the potential for heated debate rather than an expression of antisemitic sentiment.",Jews,"Oh no, they just brought up Israel and the Jews...this is gonna get messy",true_negative
RT : Just saw a jeWISH woman on IG say that Hitler killed 30 million Jews!! ?????????????? This fictitious number goes up every day or year,1,1,1369,1280829833824686080,2020-07-08 11:43:23+00:00,__ChillPhil,"This text contains Holocaust denial by claiming the number of Jewish victims is 'fictitious' and 'goes up every day or year,' which directly violates IHRA guideline 2.1.4 that defines denying the scope of the Holocaust as antisemitic. The text also uses derogatory capitalization of 'jeWISH' which employs negative stereotyping.",Jews,RT @mmckoy: Just saw a jeWISH woman on IG say that Hitler killed 30 million Jews!! ?????????????? This fictitious number goes up every day or year,true_positive
"??????Really? The Israeli Zionists� hasbara is meaningless! We all know the truth: �Israel was born out of Jewish terrorism!� ( Sir Gerald Kaufman, former Labour MP, raised as a Zionist &amp; Orthodox Jew). Long live Palestine!?",1,1,1092,1288452858837336070,2020-07-29 12:34:34+00:00,lalitapetila,"The text contains antisemitic elements by characterizing Israel as inherently born from 'Jewish terrorism' and dismissing Israeli perspectives as 'meaningless hasbara.' This applies double standards to Israel and makes stereotypical allegations about Jews as a collective, fitting IHRA guidelines 2.1.2 and 2.1.8.",Israel,"??????Really? The Israeli Zionists� hasbara is meaningless! We all know the truth: �Israel was born out of Jewish terrorism!� ( Sir Gerald Kaufman, former Labour MP, raised as a Zionist &amp; Orthodox Jew). Long live Palestine!?",true_positive
RT : Jews very pleased with the current situation in South Africa.,0,1,1243,1225197564489805830,2020-02-05 23:20:37+00:00,dethret47,"This text makes a stereotypical allegation about Jews as a collective group, suggesting they are pleased with negative developments in South Africa. This falls under IHRA guideline 2.1.2 which identifies 'stereotypical allegations about Jews as such or the power of Jews as collective' as antisemitic.",Jews,RT @JohnEdelweiss1: Jews very pleased with the current situation in South Africa.,false_positive
"The Nazis murdered millions of Jews because they were ""unwanted.""\n\nWe murder millions of unborn babies because they are ""unwanted.""\n\nPeople are valuable not because they are ""wanted"" but because they are people.\n\n#prolife #AbortionIsMurder",0,0,386,1216724878319067137,2020-01-13 14:13:11+00:00,delorose,"This text draws a comparison between Nazi genocide and abortion, but does not target Jews, make antisemitic allegations about Jews, or employ antisemitic stereotypes. While it references the Holocaust, it does so to make a pro-life argument about the value of human life rather than to deny, minimize, or distort the Holocaust or blame Jews.",Jews,"The Nazis murdered millions of Jews because they were ""unwanted.""\n\nWe murder millions of unborn babies because they are ""unwanted.""\n\nPeople are valuable not because they are ""wanted"" but because they are people.\n\n#prolife #AbortionIsMurder",true_negative
"I am finally free. And with this freedom i can say\n\nFuck deplorables, including but not limited to kikes, fags, and trannys\nAmerica is burning because of the media\nGroypin will bring us to salvation.\nFreedom of speech never felt this good",1,1,929,1185215659170586624,2019-10-18 15:26:48+00:00,EasilyThree,"The text contains the antisemitic slur 'kikes' which is a derogatory term for Jews. This constitutes a manifestation of antisemitism as hatred toward Jews expressed through derogatory language, fitting the IHRA definition of antisemitism as 'hatred toward Jews' that can be 'expressed in speech.'",Kikes,"I am finally free. And with this freedom i can say\n\nFuck deplorables, including but not limited to kikes, fags, and trannys\nAmerica is burning because of the media\nGroypin will bring us to salvation.\nFreedom of speech never felt this good",true_positive
"""... there is much in the fact of Bolshevism itself. In the fact that so many Jews are Bolsheviks. In the fact that the ideals of Bolshevism are consonant with the finest ideals of Judaism.""\n\n(The London Jewish Chronicle, April 4, 1919)",1,1,696,1231085146784268289,2020-02-22 05:15:46+00:00,zenjk0,"This text promotes the antisemitic stereotype that Jews are collectively responsible for or inherently connected to Bolshevism/communism. According to IHRA guideline 2.1.2, making stereotypical allegations about Jews as a collective, and the clarification notes that Jews being blamed for communism/bolshevism is part of the antisemitic repertoire of supposed 'Jewish crimes.'",Jews,"""... there is much in the fact of Bolshevism itself. In the fact that so many Jews are Bolsheviks. In the fact that the ideals of Bolshevism are consonant with the finest ideals of Judaism.""\n\n(The London Jewish Chronicle, April 4, 1919)",true_positive
what is with these goddamn likes and their goddamn worship of CUNTS. fucking faggot kikes and cunts,1,1,1505,1187130362960338944,2019-10-23 22:15:09+00:00,mgfinancier,"The text contains the antisemitic slur 'kikes' which is a derogatory term specifically targeting Jews. This constitutes a manifestation of antisemitism as hatred expressed toward Jews through derogatory language, fitting the IHRA definition of antisemitism as 'hatred toward Jews' expressed in speech.",Kikes,what is with these goddamn likes and their goddamn worship of CUNTS. fucking faggot kikes and cunts,true_positive
