original_index,text,biased,keyword,prediction,description,model,max_tokens,temperature,usage
113,"Following  query, The Prime Minister’s Office added that in #UAE talks, Israel “has not changed its consistent positions against the sale of tie-breaking arms and advanced defense technologies to any state in the Middle East”",0,Israel,False,"This text is a factual report about Israel's official position on arms sales in the Middle East during UAE talks. It contains no hatred toward Jews, antisemitic stereotypes, conspiracy theories, or any of the manifestations listed in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3812, 'completion_tokens': 73, 'total_tokens': 3885}"
848,"To the Jews, crucifixion is a stumbling block. The whole process of crucifixion was seen as unclean/curse in the Jewish culture.\n\n📖| The Power of the Cross\n🎙| Pastor",0,Jews,False,"This text appears to be a religious commentary discussing Jewish cultural/religious perspectives on crucifixion in a theological context. While it references Jews, it does not contain hatred, negative stereotypes, conspiracy theories, or other manifestations of antisemitism as defined by IHRA. It reads as educational religious content rather than antisemitic rhetoric.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3821, 'completion_tokens': 90, 'total_tokens': 3911}"
346,Lots of American Jews feeling no Love for Right Wing Criminals in Israeli Government. #IStandWithIlhan,0,Jews,False,"The text criticizes the Israeli government as 'Right Wing Criminals' but does not target Jews as a people or employ antisemitic stereotypes. It specifically distinguishes between American Jews (who are portrayed positively as opposing the Israeli government) and the Israeli government itself, which indicates criticism of Israel similar to that leveled against other countries rather than antisemitic targeting of Jews as a collective.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3793, 'completion_tokens': 101, 'total_tokens': 3894}"
121,"On a 1 to 10 scale, how important is the Israel UAE agreement to normalize relations? (A 10 being HUGE)",0,Israel,False,"This text is a neutral question asking for an opinion on the importance of the Israel-UAE normalization agreement on a scale of 1-10. It contains no hatred toward Jews, antisemitic stereotypes, or any of the manifestations listed in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3799, 'completion_tokens': 77, 'total_tokens': 3876}"
734,"Hang on, is it NOT common knowledge amongst ppl in the west that christians, Muslims and Jews actually believe in the same god",0,Jews,False,This text discusses theological similarities between Abrahamic religions without expressing hatred toward Jews or employing antisemitic stereotypes. It appears to be a genuine question about religious commonalities rather than targeting Jews with negative characterizations.,anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3796, 'completion_tokens': 65, 'total_tokens': 3861}"
508,"75 years after the liberation of Auschwitz, we remember the 6 million Jews murdered by the Nazis and all Nazi victims, including Roma, gay and disabled people. On this special #HolocaustMemorialDay we recommit to fight hatred and prejudice everywhere. #Auschwitz75 #StandTogether",0,Jews,False,"This text commemorates Holocaust victims and explicitly acknowledges the murder of 6 million Jews by the Nazis, which aligns with historical facts rather than denying them. The message promotes fighting hatred and prejudice, which is the opposite of antisemitic rhetoric.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3841, 'completion_tokens': 74, 'total_tokens': 3915}"
259,"I’m an American Jew &amp;immigrant fr USSR like yourself. It’s unfortunately common for US-born Jews to not ascertain the importance of Israel. It’s rare for Soviet Jews,who were let out of that socialist shithole &amp;into US on refugee visas thanks to ISRAEL’s influence,to not grasp it",0,Jews,False,"This text expresses a Jewish person's perspective on the importance of Israel to Jewish identity and history, particularly for Soviet Jewish immigrants. While it contains strong political opinions and crude language about the USSR, it does not contain hatred toward Jews, antisemitic stereotypes, or any of the specific manifestations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3839, 'completion_tokens': 88, 'total_tokens': 3927}"
53,"She's only willing to call out the anti semitism in the US, while vilifying the Jews of Israel, more than half of which are descended from Mizrahim, aka refugees from muslim countries.\n\nMr. Gerber is an upper middle class American whose family wasnt forced to Israel for survival",0,Israel,False,"The text criticizes someone's selective approach to addressing antisemitism and makes factual claims about Israeli demographics and an individual's background. While it discusses Jews and Israel, it does not contain hatred toward Jews, employ antisemitic stereotypes, or make mendacious allegations about Jewish people as defined by the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3833, 'completion_tokens': 87, 'total_tokens': 3920}"
853,"Actually it wasn't just Christians, it was also Jews and Muslims. Not to mention\nIt's in the first Amendment of the Constitution. Even during a pandemic the Constitution still applies.",0,Jews,False,"The text discusses Christians, Jews, and Muslims in the context of Constitutional rights during a pandemic. There are no antisemitic allegations, stereotypes, or manifestations targeting Jews specifically, and the mention of Jews appears to be factual rather than expressing hatred or negative perceptions.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3806, 'completion_tokens': 76, 'total_tokens': 3882}"
1376,"�Judeo-Christian� isn�t a thing. It a) positions Jews &amp; Christians against Muslims, is Islamophobic b) elides Christian oppression &amp; murder of Jews over more than 1000 years &amp; c) ignores Jewish civilization worldwide &amp; facts of  key Jewish developments in Middle East &amp; N Africa.",0,Jews,False,"The text critiques the term 'Judeo-Christian' on academic and historical grounds, arguing it creates false divisions and erases historical persecution. This is scholarly criticism of a concept rather than expressing hatred toward Jews or employing antisemitic stereotypes, allegations, or conspiracy theories as defined by IHRA.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3847, 'completion_tokens': 85, 'total_tokens': 3932}"
