original_index,text,biased,keyword,prediction,description,model,max_tokens,temperature,usage
5310,"RT :  A core part of my Jewish education growing up was ""Jews must always be for human rights and civil rights."" I expect the same of our Jewish State. These particular rocket strikes may or may not be justified but the general status quo is not.",0,Jews,None,"This text expresses a Jewish person's perspective on applying Jewish values of human rights to Israel's actions. It contains legitimate political criticism without antisemitic tropes, conspiracy theories, or targeting Jews as a collective. The speaker identifies as Jewish and applies consistent moral standards.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4774, 'completion_tokens': 74, 'total_tokens': 4848}"
838,"President  DELIVERS yet another breakthrough for Middle East peace.
 
???? ???? ???? Israel-Morocco peace
 
This agreement was made possible by this President – the historic significance of ALL these agreements cannot be overstated!",0,Israel,None,"This text celebrates a diplomatic achievement regarding Israel-Morocco peace negotiations without containing any antisemitic content, conspiracy theories, or negative stereotypes about Jewish people. It is positive political commentary about diplomatic progress.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4772, 'completion_tokens': 60, 'total_tokens': 4832}"
3518,Totally creepy. Deep down think they hate Jews but think we all need to be in Israel and have the opportunity to convert or die. Thanks but no thanks!,0,Jews,None,"The text expresses suspicion about a group's motivations regarding Jews and Israel, but does not contain antisemitic content itself. It appears to be criticizing what the author perceives as conditional or ulterior support for Jewish people, rather than promoting antisemitic views or stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4756, 'completion_tokens': 79, 'total_tokens': 4835}"
1333,"U.S. Virgin Islands  (????)
+
Israel (????)
=
U.S. Virgin Israel: https://t.co/tjheZ5bLap",0,Israel,None,"This appears to be a simple wordplay or pun combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. The text does not contain antisemitic tropes, conspiracy theories, or negative characterizations of Jews or Israel - it's just a play on words without hostile content.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4762, 'completion_tokens': 95, 'total_tokens': 4857}"
5843,"Very distressing but not surprising considering the hate ginned up by Republicans over the past few years.  It was inevitable, despite how profoundly distressing it is.  Jews have always been targets.",0,Jews,None,"The text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not itself contain antisemitic content. It appears to be condemning antisemitism rather than promoting it.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4764, 'completion_tokens': 63, 'total_tokens': 4827}"
4419,"“We Jews - the descendants of Holocaust survivors - cannot and will not remain indifferent to words that would dehumanize LGBT persons.” 
- Board of the Jewish Community of Warsaw 
https://t.co/p52aT4wckI https://t.co/CyvnbXqyfS",0,Jews,None,"This text is a statement from the Jewish Community of Warsaw expressing solidarity with LGBT persons and opposing dehumanization. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews - rather it shows Jewish community members taking a positive moral stance based on their historical experience.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4791, 'completion_tokens': 78, 'total_tokens': 4869}"
534,#BREAKING: Joint statement by the Israeli Ministery of Defense and the Israel Institute for Biological Research: A significant breakthrough has been achieved in finding an antidote to the Corona virus that attacks the virus and can neutralize it in the sick body,0,Israel,None,"This text is a straightforward news announcement about a potential medical breakthrough by Israeli institutions regarding COVID-19 treatment. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews, and is simply reporting on scientific research developments.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4774, 'completion_tokens': 70, 'total_tokens': 4844}"
5934,There's also some jews under the bakery that need reporting to the gestapo.,0,Jews,IHRA Definition,"This text contains a clear reference to reporting Jews to the Gestapo, which calls for harming Jews and invokes Nazi persecution. This constitutes antisemitic content under the IHRA definition as it promotes harm against Jews as a collective group using historical Nazi imagery.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4740, 'completion_tokens': 79, 'total_tokens': 4819}"
5888,"On this day in 1941, Hitler directs his top officials to draw up plans for the extermination of all Jews in Europe. Joseph Goebbels, who is present for the meeting, records the details in his diary: ""The Führer has decided to make a clean sweep."" https://t.co/E6l1iqpCtz",0,Jews,None,"This text is a factual historical statement about Nazi planning for the Holocaust, referencing Hitler's directive and Goebbels' diary entry. It contains no antisemitic content, conspiracy theories, or negative characterizations of Jews - rather it documents historical persecution of Jews by Nazis.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4800, 'completion_tokens': 79, 'total_tokens': 4879}"
1447,"Israel will likely have vaccinated most of its truly vulnerable population within a week or so. It’s taken no breaks, not even for Shabbat - rabbis blessed round-the-clock vaccination because it’s a life-saving activity.",0,Israel,None,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jews, and discusses Israeli policy in a neutral, informational manner.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4772, 'completion_tokens': 73, 'total_tokens': 4845}"
1462,"Father, God of Abraham, Isaac &amp; Jacob, you Bless those who Bless Israel &amp; curse those who curse Israel.
Thy servant President Trump has Blessed Israel.
Bless President Trump with another 4 yrs in office.
Grant him a Red Sea Deliverance.
Be exalted &amp; glorified in Jesus name Amen.",0,Israel,None,"This text is a religious prayer expressing support for Israel and President Trump based on biblical references. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jewish people. The prayer invokes the biblical promise to bless those who bless Israel, which is a positive religious sentiment rather than antisemitic discourse.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 4808, 'completion_tokens': 86, 'total_tokens': 4894}"
