original_index,text,biased,keyword,prediction,description,model,max_tokens,temperature,usage
5310,"RT :  A core part of my Jewish education growing up was ""Jews must always be for human rights and civil rights."" I expect the same of our Jewish State. These particular rocket strikes may or may not be justified but the general status quo is not.",0,Jews,False,"This text expresses a Jewish person's perspective on applying Jewish values of human rights to Israel's policies. It criticizes the 'general status quo' while acknowledging uncertainty about specific military actions, representing legitimate political criticism rather than targeting Jews as Jews or invoking antisemitic tropes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2361, 'completion_tokens': 79, 'total_tokens': 2440}"
838,"President  DELIVERS yet another breakthrough for Middle East peace.
 
???? ???? ???? Israel-Morocco peace
 
This agreement was made possible by this President – the historic significance of ALL these agreements cannot be overstated!",0,Israel,False,"This text celebrates diplomatic achievements regarding Israel-Morocco peace agreements without targeting Jews as Jews or invoking antisemitic tropes. It is positive political commentary about diplomatic breakthroughs rather than expressing discrimination, prejudice, or hostility against Jewish people.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2359, 'completion_tokens': 71, 'total_tokens': 2430}"
3518,Totally creepy. Deep down think they hate Jews but think we all need to be in Israel and have the opportunity to convert or die. Thanks but no thanks!,0,Jews,False,"This text expresses suspicion about a group's motivations regarding Jews and Israel, but does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews. The statement appears to be criticizing a particular political or religious group's agenda rather than making antisemitic generalizations about Jewish people themselves.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2343, 'completion_tokens': 84, 'total_tokens': 2427}"
1333,"U.S. Virgin Islands  (????)
+
Israel (????)
=
U.S. Virgin Israel: https://t.co/tjheZ5bLap",0,Israel,False,"This text appears to be making a play on words combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. While the intent is unclear, there are no classical antisemitic tropes, conspiracy theories, or targeting of Jews as Jews present in the text.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2349, 'completion_tokens': 90, 'total_tokens': 2439}"
5843,"Very distressing but not surprising considering the hate ginned up by Republicans over the past few years.  It was inevitable, despite how profoundly distressing it is.  Jews have always been targets.",0,Jews,False,"This text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews. Instead, it appears to be sympathetic commentary about antisemitism being a concerning problem.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2351, 'completion_tokens': 76, 'total_tokens': 2427}"
4419,"“We Jews - the descendants of Holocaust survivors - cannot and will not remain indifferent to words that would dehumanize LGBT persons.” 
- Board of the Jewish Community of Warsaw 
https://t.co/p52aT4wckI https://t.co/CyvnbXqyfS",0,Jews,False,"This text is a statement by the Jewish Community of Warsaw Board expressing solidarity with LGBT persons and opposing dehumanizing language against them. It does not contain any discrimination, prejudice, hostility, or violence against Jews as Jews, nor does it invoke any antisemitic tropes or stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2378, 'completion_tokens': 81, 'total_tokens': 2459}"
534,#BREAKING: Joint statement by the Israeli Ministery of Defense and the Israel Institute for Biological Research: A significant breakthrough has been achieved in finding an antidote to the Corona virus that attacks the virus and can neutralize it in the sick body,0,Israel,False,"This text reports on an Israeli government announcement about a potential COVID-19 treatment breakthrough. It contains no antisemitic content, conspiracy theories, or negative generalizations about Jews. It is simply factual reporting about a scientific development from Israeli institutions.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2361, 'completion_tokens': 70, 'total_tokens': 2431}"
5934,There's also some jews under the bakery that need reporting to the gestapo.,0,Jews,True,"This text references reporting Jews to the Gestapo, which directly invokes Nazi persecution and the Holocaust. It promotes violence and hostility against Jews as Jews by referencing historical mechanisms of Jewish persecution and extermination.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2327, 'completion_tokens': 65, 'total_tokens': 2392}"
5888,"On this day in 1941, Hitler directs his top officials to draw up plans for the extermination of all Jews in Europe. Joseph Goebbels, who is present for the meeting, records the details in his diary: ""The Führer has decided to make a clean sweep."" https://t.co/E6l1iqpCtz",0,Jews,False,"This text is a factual historical statement about Nazi plans for the Holocaust, referencing Hitler's directive and Goebbels' diary entry. It does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews, nor does it deny or minimize the Holocaust - rather it documents the historical reality of Nazi genocide planning.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2387, 'completion_tokens': 89, 'total_tokens': 2476}"
1447,"Israel will likely have vaccinated most of its truly vulnerable population within a week or so. It’s taken no breaks, not even for Shabbat - rabbis blessed round-the-clock vaccination because it’s a life-saving activity.",0,Israel,False,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative generalizations about Jews as Jews, and appears to be neutral reporting on public health efforts.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2359, 'completion_tokens': 74, 'total_tokens': 2433}"
