original_index,text,biased,keyword,prediction,description,model,max_tokens,temperature,usage
5310,"RT :  A core part of my Jewish education growing up was ""Jews must always be for human rights and civil rights."" I expect the same of our Jewish State. These particular rocket strikes may or may not be justified but the general status quo is not.",0,Jews,False,"This text expresses criticism of Israeli policies while affirming Jewish values of human rights. The author identifies as Jewish and applies consistent moral standards to Israel based on their Jewish education, which constitutes legitimate political criticism rather than antisemitic content.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2614, 'completion_tokens': 68, 'total_tokens': 2682}"
838,"President  DELIVERS yet another breakthrough for Middle East peace.
 
???? ???? ???? Israel-Morocco peace
 
This agreement was made possible by this President – the historic significance of ALL these agreements cannot be overstated!",0,Israel,False,"This text celebrates a peace agreement between Israel and Morocco, presenting it in positive terms as a breakthrough for Middle East peace. The content does not contain any antisemitic elements, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people, and treats Israel's diplomatic achievements in a factual, celebratory manner.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2612, 'completion_tokens': 85, 'total_tokens': 2697}"
3518,Totally creepy. Deep down think they hate Jews but think we all need to be in Israel and have the opportunity to convert or die. Thanks but no thanks!,0,Jews,False,"This text appears to be criticizing a particular group's motivations regarding Jews and Israel, but does not contain antisemitic content itself. The speaker is expressing concern about others' attitudes toward Jewish people rather than promoting antisemitic views or stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2596, 'completion_tokens': 71, 'total_tokens': 2667}"
1333,"U.S. Virgin Islands  (????)
+
Israel (????)
=
U.S. Virgin Israel: https://t.co/tjheZ5bLap",0,Israel,False,"This text appears to be a simple wordplay combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. It does not contain any antisemitic tropes, conspiracy theories, Holocaust denial, or other elements defined as antisemitic by the IHRA definition. It appears to be neutral content without targeting Jews collectively or promoting antisemitic stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2602, 'completion_tokens': 109, 'total_tokens': 2711}"
5843,"Very distressing but not surprising considering the hate ginned up by Republicans over the past few years.  It was inevitable, despite how profoundly distressing it is.  Jews have always been targets.",0,Jews,False,"This text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not contain any antisemitic content itself. The statement criticizes political rhetoric that may contribute to antisemitism rather than promoting antisemitic views or stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2604, 'completion_tokens': 74, 'total_tokens': 2678}"
4419,"“We Jews - the descendants of Holocaust survivors - cannot and will not remain indifferent to words that would dehumanize LGBT persons.” 
- Board of the Jewish Community of Warsaw 
https://t.co/p52aT4wckI https://t.co/CyvnbXqyfS",0,Jews,False,"This text is a statement from the Jewish Community of Warsaw expressing solidarity with LGBT persons and opposing dehumanization. It contains no antisemitic content, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people. Instead, it represents Jewish voices speaking out against discrimination.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2631, 'completion_tokens': 76, 'total_tokens': 2707}"
534,#BREAKING: Joint statement by the Israeli Ministery of Defense and the Israel Institute for Biological Research: A significant breakthrough has been achieved in finding an antidote to the Corona virus that attacks the virus and can neutralize it in the sick body,0,Israel,False,"This text is a factual news report about a claimed medical breakthrough by Israeli institutions regarding COVID-19 treatment. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jewish people, and does not meet any criteria from the IHRA definition of antisemitism.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2614, 'completion_tokens': 79, 'total_tokens': 2693}"
5934,There's also some jews under the bakery that need reporting to the gestapo.,0,Jews,True,"This text explicitly references reporting Jews to the Gestapo, which calls for harming Jews and invokes Nazi persecution. This clearly falls under the IHRA definition as content that calls for or aids in harming Jews, referencing historical mechanisms of Jewish persecution and genocide.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2580, 'completion_tokens': 76, 'total_tokens': 2656}"
5888,"On this day in 1941, Hitler directs his top officials to draw up plans for the extermination of all Jews in Europe. Joseph Goebbels, who is present for the meeting, records the details in his diary: ""The Führer has decided to make a clean sweep."" https://t.co/E6l1iqpCtz",0,Jews,False,"This text appears to be a factual historical statement about Nazi planning for the Holocaust in 1941, including a quote from Goebbels' diary. It presents historical information about the Holocaust without denial, distortion, or minimization, and does not contain any antisemitic tropes or conspiracy theories.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2640, 'completion_tokens': 84, 'total_tokens': 2724}"
1447,"Israel will likely have vaccinated most of its truly vulnerable population within a week or so. It’s taken no breaks, not even for Shabbat - rabbis blessed round-the-clock vaccination because it’s a life-saving activity.",0,Israel,False,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people, and discusses Israeli policy in a neutral, informational manner similar to how other countries' vaccination efforts might be described.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2612, 'completion_tokens': 85, 'total_tokens': 2697}"
1462,"Father, God of Abraham, Isaac &amp; Jacob, you Bless those who Bless Israel &amp; curse those who curse Israel.
Thy servant President Trump has Blessed Israel.
Bless President Trump with another 4 yrs in office.
Grant him a Red Sea Deliverance.
Be exalted &amp; glorified in Jesus name Amen.",0,Israel,False,"This text is a religious prayer expressing support for Israel and invoking biblical blessings. It contains positive references to Israel and Jewish biblical figures (Abraham, Isaac, Jacob) without any antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2648, 'completion_tokens': 74, 'total_tokens': 2722}"
5444,"And when he was come unto us, he took Paul's girdle, and bound his own hands and feet, and said, Thus saith the Holy Ghost, So shall the Jews at Jerusalem bind the man that owneth this girdle, and shall deliver him into the hands of the Gentiles.

Acts 21:11

#LearnFromTheBible",0,Jews,False,"This is a direct biblical quotation from Acts 21:11 describing a prophetic warning about Paul's arrest in Jerusalem. The text is historical/religious scripture without antisemitic intent, stereotyping, or promotion of hatred against Jewish people as a collective.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2639, 'completion_tokens': 74, 'total_tokens': 2713}"
4590,not cool. many Jews reclaimed what their ancestors were forced to wear and now wear our symbol with pride. Non Jews have no business wearing it if you ask me,0,Jews,False,"This text expresses a personal opinion about who should wear Jewish symbols, specifically referencing historical persecution and cultural reclamation. While it expresses a restrictive view about non-Jews wearing Jewish symbols, it does not contain antisemitic content according to IHRA definition - it doesn't promote hatred, stereotypes, conspiracy theories, or any of the specific manifestations of antisemitism outlined in the definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2595, 'completion_tokens': 104, 'total_tokens': 2699}"
1489,"4.2 million vaccinations in the US
1 million in Israel

Australia -  zero, and it wont be here for months

#BackOfTheQueue",0,Israel,False,"This text compares vaccination rollout numbers between countries without making any antisemitic statements. It presents factual information about vaccination distribution and uses a hashtag expressing frustration about Australia's position, but contains no antisemitic tropes, conspiracy theories, or targeting of Jewish people.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2598, 'completion_tokens': 77, 'total_tokens': 2675}"
4471,"4 March 1943 | 1,000 Jews arrived at #Auschwitz from #Drancy. SS doctors sent 881 people to gas chambers. 19 women &amp; 100 men were registered. All men were sent to Sonderkommando. Among them was David Olère. After the war he showed his traumatic experience in drawings &amp; paintings. https://t.co/8pSSn1PKMo",0,Jews,False,"This text provides factual historical information about the Holocaust, specifically documenting the deportation of Jews to Auschwitz and the testimony of survivor David Olère. It does not deny, distort, or minimize the Holocaust, nor does it contain any antisemitic tropes or stereotypes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2663, 'completion_tokens': 81, 'total_tokens': 2744}"
4698,RT : What are the similarities between the Ndebele Nation and the Jews? https://t.co/tG9VQJrCT5,0,Jews,False,"This text is a retweet asking about similarities between the Ndebele Nation and Jews, which appears to be a neutral comparative question. There are no antisemitic tropes, stereotypes, conspiracy theories, or other elements that meet the IHRA definition of antisemitism present in this brief text.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2595, 'completion_tokens': 84, 'total_tokens': 2679}"
11,"The #Danish Bible Society has removed dozens of references to 'Israel' from translations of the Hebrew Bible and the New Testament.

No one can rewrite history and delete #Israel from history. Israel is here yo stay, whether they like it or not. https://t.co/aeUx1paEUU",0,Israel,False,"This text criticizes the Danish Bible Society's editorial decision to remove references to 'Israel' from biblical translations and affirms Israel's historical existence and right to exist. The content does not contain antisemitic tropes, conspiracy theories, Holocaust denial, or other elements defined as antisemitic by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2630, 'completion_tokens': 86, 'total_tokens': 2716}"
5190,RT : Come on Jews the space lasers are supposed to be for hair removal only,0,Jews,True,"This text promotes an antisemitic conspiracy theory about Jews controlling space-based weapons technology ('space lasers'), which falls under the IHRA definition's category of 'mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews as a collective' and myths about Jewish control of technology/institutions.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2579, 'completion_tokens': 89, 'total_tokens': 2668}"
1476,RT : could really use an Israel Folau shit take right now to cool things down a bit,0,Israel,False,"This text appears to be a casual social media comment referencing Israel Folau (likely the rugby player known for controversial statements) and suggesting his opinions might provide distraction from current events. There are no antisemitic elements, conspiracy theories, Holocaust references, or targeting of Jewish people as defined by the IHRA criteria.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2582, 'completion_tokens': 86, 'total_tokens': 2668}"
3987,"Armenians wrote ""Death to Jews"" and drew a swastika on the monument to the victims of the Holocaust in Yerevan. According to official statistics, 213 people of Jewish origin live in Armenia.
#StopThreateningTheJews
#KIAZteam",0,Jews,False,"This text reports on an antisemitic incident (vandalism with 'Death to Jews' and swastika) rather than expressing antisemitic views itself. The text appears to condemn the incident through the hashtag #StopThreateningTheJews, making it a factual report opposing antisemitism rather than promoting it.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2627, 'completion_tokens': 91, 'total_tokens': 2718}"
567,"Bill Maher, Pete Buttigieg, Andrew Yang all praise the Trump Administration's historic Israel-UAE deal:

""There's no question that it's good news""

""A big deal"" https://t.co/TmFWPi6N8K",0,Israel,False,"This text reports factual information about political figures praising a diplomatic agreement between Israel and UAE. It contains no antisemitic tropes, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people, and discusses Israel in the context of legitimate diplomatic news.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2621, 'completion_tokens': 73, 'total_tokens': 2694}"
3541,"Pnina Tamano-Shata, first Ethiopian-born woman to serve as an Israeli minister, forecasts 90,000 Jews to move to Israel over next 18 months, says bringing remaining members of Ethiopian Jewish community a priority https://t.co/rmvl2DhEW2",0,Jews,False,"This text is a factual news report about an Israeli minister's forecast regarding Jewish immigration to Israel, specifically mentioning Ethiopian Jewish community members. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people, and simply reports on immigration policy and demographic projections.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2630, 'completion_tokens': 79, 'total_tokens': 2709}"
4531,"George Soros directs a “Deep State” global conspiracy network. A Joe Biden win would put America in control of “Jews and Blacks.” And he has a pedophilia problem

Wild disinfo like this is swamping Spanish-language residents in FL

via  &amp; me

https://t.co/HOgnTCl4KD",0,Jews,True,"The text promotes classic antisemitic conspiracy theories about Jewish control, specifically referencing George Soros directing a global conspiracy network and claiming Jews would control America. These are clear examples of myths about Jewish world conspiracy as defined in the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2639, 'completion_tokens': 71, 'total_tokens': 2710}"
5873,"""...millions of Jews in Gaza?"" ????

Dude, come on — *slight* exaggeration! ?????????

They evicted 8k Israelis frm 21 settlements inside Gaza, &amp; each family got &gt;$200k to resettle elsewhere. (Which was actually a sweet deal bc they could move somewhere they'd find more desirable.) ??",0,Jews,False,"This text discusses the 2005 Israeli disengagement from Gaza, correcting an apparent exaggeration about Jewish population numbers there. It provides factual information about the evacuation of Israeli settlements and compensation given to families. The text does not contain antisemitic tropes, conspiracy theories, or harmful stereotypes about Jews as defined by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2646, 'completion_tokens': 95, 'total_tokens': 2741}"
5579,"We must introspect &amp; see what words hurt. We cannot be silent bystanders as Jews are scapegoated, but scream injustice when Muslims are attacked. Stand with #BLM but not  #lgbtq. Hate &amp; bigotry in all shape &amp; form must be countered by ALL of us.   #England",0,Jews,False,"This text explicitly condemns antisemitism by stating 'We cannot be silent bystanders as Jews are scapegoated' and calls for standing against 'hate & bigotry in all shape & form.' The message promotes solidarity across different groups and opposes scapegoating of Jews, which is the opposite of antisemitic content.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2642, 'completion_tokens': 92, 'total_tokens': 2734}"
4296,"Nearly two-thirds of US adults unaware 6m Jews killed in the Holocaust. The lowest-scoring states were Florida at 20%, Mississippi at 18% and Arkansas at 17%. https://t.co/zIdDzwt1qY",0,Jews,False,"This text reports factual survey data about Holocaust awareness in the US without denying, distorting, or minimizing the Holocaust. It presents statistical information about public knowledge gaps rather than promoting antisemitic views or conspiracy theories.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2617, 'completion_tokens': 66, 'total_tokens': 2683}"
1292,"Israel Vaccinates Over One-Tenth of Population, But Palestinians in Occupied Territories Left Out of Rollout https://t.co/RIv8axGZ0i",0,Israel,False,"This text reports factual information about vaccine distribution disparities between Israel and Palestinians in occupied territories. It does not contain antisemitic tropes, conspiracy theories, or stereotypes about Jewish people, nor does it apply double standards to Israel beyond what might be expected of other countries in similar situations.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2603, 'completion_tokens': 79, 'total_tokens': 2682}"
1822,Incitement to the genocide of Jews is widespread inside mosques in the US. The Muslim community must end this hatre… https://t.co/gzI83MFeUn,0,Jews,False,"While the text makes a broad generalization about mosques and the Muslim community, it does not contain antisemitic content according to the IHRA definition. The statement expresses concern about alleged incitement against Jews rather than promoting antisemitic views, stereotypes, or hatred toward Jewish people itself.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2602, 'completion_tokens': 81, 'total_tokens': 2683}"
42,"You don't get to label anyone critical of Israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former Guido employees as ""something to be taken seriously"" and then be angry RLB took the only stance that wouldn't lead to mass condemnation",0,Israel,False,"This text criticizes the handling of antisemitism allegations and political responses without employing antisemitic tropes, conspiracy theories, or targeting Jews as a collective. It discusses political strategy and media coverage rather than making antisemitic claims about Jewish people or Israel.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2628, 'completion_tokens': 73, 'total_tokens': 2701}"
2762,"Jews and Muslims. Chants in Hebrew and Arabic.

This is the protest tonight in the streets of Tel Aviv against Trump’s “peace plan.”

Trump is rejected not just in the United States, but around the world.

 https://t.co/K7wWDSp92U",0,Jews,False,"This text reports factually on a protest in Tel Aviv against Trump's peace plan, mentioning Jewish and Muslim participants without employing antisemitic tropes, stereotypes, or conspiracy theories. It presents straightforward political commentary about opposition to a specific policy without targeting Jews as a collective or using any elements defined as antisemitic by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2626, 'completion_tokens': 93, 'total_tokens': 2719}"
3686,"Nazis killed 6 mil Jews. Islamic invaders including Mughals killed 100 mil Hindus. After WW2 Germany destroyed all Nazi Symbols including #hakenkreuz on every grave.
In India, genocide of Hindus is celebrated as History &amp; we are taught how great our killers were!",0,Jews,False,"The text acknowledges the Holocaust as historical fact (6 million Jews killed by Nazis) and does not contain antisemitic content according to IHRA definition. While it makes comparative claims about other historical genocides and criticizes educational approaches in India, it does not target Jews with stereotypes, conspiracy theories, or other antisemitic tropes outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2635, 'completion_tokens': 99, 'total_tokens': 2734}"
4113,RT : Jews in NYC just cut the lock  put on their park ???? https://t.co/77431im2Ge,0,Jews,False,"This text appears to be reporting on an incident where Jewish people in NYC cut a lock on a park. The statement is factual reporting without employing antisemitic tropes, stereotypes, or conspiracy theories. It does not contain dehumanizing language, Holocaust denial, dual loyalty accusations, or other elements defined as antisemitic by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2590, 'completion_tokens': 95, 'total_tokens': 2685}"
4022,"Wiping history out harms my Jewish children. For example, I taught them about Ulysses Grant expelling Jews from Kentucky, a state where in modern times their own family bred thoroughbred horses. I also taught them about his lifelong remorse for this act and his desire to repent.",0,Jews,False,"This text discusses historical antisemitism (Grant's expulsion of Jews) in an educational context and does not contain any antisemitic content according to the IHRA definition. The speaker is teaching their Jewish children about both historical persecution and subsequent remorse, which is factual historical education rather than promoting antisemitic views.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2626, 'completion_tokens': 86, 'total_tokens': 2712}"
4308,"There's no such thing as ""the Jewish community"". There are religious Jews, non-religious Jews, Zionist Jews, anti-Zionist Jews, Tory Jews, socialist Jews.

When Ed Miliband was Labour Leader, Maureen Lipman quit the party because he wasn't pro-Israel enough. They're both Jewish. https://t.co/vhrgUXN1W9",0,Jews,False,"The text acknowledges diversity within Jewish communities and provides a factual example about political differences between Jewish individuals. It does not contain antisemitic stereotypes, conspiracy theories, or other elements defined as antisemitic by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2652, 'completion_tokens': 69, 'total_tokens': 2721}"
515,"Happy Independence Day, America! 

The state of Israel sends our heartfelt appreciation to  and the people of the U.S. as you celebrate the shared values of life, liberty and the pursuit of happiness. Thanks for being such a close friend and ally! ???????? https://t.co/CKjUQ5gZdN",0,Israel,False,"This text is a positive diplomatic message from Israel congratulating America on Independence Day and expressing gratitude for friendship and shared values. It contains no antisemitic content, conspiracy theories, Holocaust denial, or any other elements defined as antisemitic by the IHRA definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2636, 'completion_tokens': 75, 'total_tokens': 2711}"
4015,"NYC DeBlasio Defends Ban on Jews, Christians, Says BLM Protests OK Because of 'Profound Meaning'! Liberals are on the offensive to change the very way we live, do business or use our freedom of speech! Free thinkers have been banned! This is our future!

https://t.co/NtOppGTb1l",0,Jews,False,"While the text contains inflammatory political rhetoric and criticism of a mayor's policies regarding religious gatherings versus protests, it does not meet the IHRA definition criteria for antisemitism. The text criticizes specific government policies rather than making antisemitic allegations about Jews as a collective, promoting conspiracy theories, or using classic antisemitic tropes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2645, 'completion_tokens': 89, 'total_tokens': 2734}"
2013,"Why are we fucking talking about whether or not democrats hate Jews?

This is the problem with the media. Trump pul… https://t.co/Q0QcqsVO2p",0,Jews,False,"This text expresses frustration about media coverage regarding Democrats and Jewish people, but does not contain any antisemitic content according to the IHRA definition. It criticizes media focus and mentions Trump, but makes no stereotypical allegations about Jews, conspiracy theories, Holocaust denial, or other antisemitic tropes outlined in the definition.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2604, 'completion_tokens': 89, 'total_tokens': 2693}"
4967,"RT : HERE is a truth you won't get from MSM 

Starmer has suspended or expelled more Jews from the Labour Party than any predecessor

Left-wing Jews who support the human rights of Palestinians and deplore the words &amp; actions of the right-wing Board of Deputies, feel very unwelcome",0,Jews,False,"This text criticizes Starmer's actions regarding Jewish Labour Party members and mentions political disagreements within the Jewish community about Palestinian rights and the Board of Deputies. It does not contain antisemitic tropes, conspiracy theories, or stereotypes about Jews as a collective, but rather discusses internal political dynamics and policy disagreements.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2628, 'completion_tokens': 85, 'total_tokens': 2713}"
266,"Iran lied to America and the west

Iran funds terror against America and Israel

Why did Obama and Biden send them $1 billion in CASH?

Did they get anything in return?

Why is John Kerry allowed to secretly negotiate in defiance of the Logan Act?

Investigate these ties to Iran!",0,Israel,False,"This text criticizes U.S. foreign policy decisions regarding Iran and questions specific political figures' actions, but does not contain any antisemitic content according to the IHRA definition. It does not target Jews as a collective, promote antisemitic conspiracy theories, or use antisemitic tropes.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2627, 'completion_tokens': 82, 'total_tokens': 2709}"
6444,"A man in Canada threatened to massacre Jews he called 'zionazis' - a term widely used in the extreme left, while wo… https://t.co/lPfLWbPV7B",0,ZioNazi,True,"The text describes threats to massacre Jews using the term 'zionazis', which combines 'Zionist' with 'Nazi' - a classic antisemitic trope that compares Israeli policy to Nazi actions. This falls under the IHRA definition's example of using Nazi comparisons against Israel/Israelis, and the threat of violence against Jews clearly constitutes antisemitism.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2608, 'completion_tokens': 103, 'total_tokens': 2711}"
6180,"Dr. Nina is a known ANTISEMITE. She marched for BDS and called Jewish people ""kikes"" during a… https://t.co/KSJxzYxgjI",0,Kikes,True,"The text contains the antisemitic slur 'kikes' which is a dehumanizing and stereotypical allegation against Jewish people as a collective, clearly meeting the IHRA definition criteria for antisemitic content.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2605, 'completion_tokens': 68, 'total_tokens': 2673}"
1914,"Muslims, Christians, Jews and Hindus want you to have a doctorate in their religion before you criticize it. They a… https://t.co/1JqenI5DJ4",0,Jews,False,"The text makes a general observation about religious groups (including Jews alongside Muslims, Christians, and Hindus) regarding criticism of their religions. It does not contain antisemitic stereotypes, conspiracy theories, or any of the specific manifestations outlined in the IHRA definition targeting Jews specifically.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2603, 'completion_tokens': 79, 'total_tokens': 2682}"
591,"This speech, taped during Pompeo’s official State Department travel to Israel, is a violation of the Hatch Act, which prohibits executive branch appointees from engaging in political activity while serving in their official capacity. https://t.co/jtKgtlMYeE",0,Israel,False,"This text criticizes a specific political action (Pompeo's speech during official travel) as potentially violating the Hatch Act. It contains legitimate political criticism of government conduct without employing any antisemitic tropes, stereotypes, or targeting Jews as a collective.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2623, 'completion_tokens': 76, 'total_tokens': 2699}"
3169,"In 1933, German Jews were initially disarmed but limited to local areas. In 1936, the Gestapo stopped issuing gun licenses to Jews.  In 1938, Jews were banned from owning guns....we know the rest of the story. https://t.co/WPVRGGwEAs",0,Jews,False,"This text presents historical facts about Nazi gun control policies targeting Jews from 1933-1938, followed by an implicit reference to the Holocaust ('we know the rest of the story'). While the text discusses the Holocaust period, it does not deny, distort, or minimize the Holocaust, nor does it contain antisemitic tropes or conspiracy theories. It appears to be making a historical argument about gun control policies, which constitutes legitimate historical discourse rather than antisemitic content.",anthropic/claude-sonnet-4,800,0.1,"{'prompt_tokens': 2635, 'completion_tokens': 118, 'total_tokens': 2753}"
