original_index,text,is_antisemitic,keyword,prediction_both_def,description,prediction_IHRA,description_IHRA,prediction_JD,description_JD
5310,"RT :  A core part of my Jewish education growing up was ""Jews must always be for human rights and civil rights."" I expect the same of our Jewish State. These particular rocket strikes may or may not be justified but the general status quo is not.",0,Jews,None,"This text expresses a Jewish person's perspective on applying Jewish values of human rights to Israel's actions. It contains legitimate political criticism without antisemitic tropes, conspiracy theories, or targeting Jews as a collective. The speaker identifies as Jewish and applies consistent moral standards.",False,"This text expresses criticism of Israeli policies while affirming Jewish values of human rights. The author identifies as Jewish and applies consistent moral standards to Israel based on their Jewish education, which constitutes legitimate political criticism rather than antisemitic content.",False,"This text expresses a Jewish person's perspective on applying Jewish values of human rights to Israel's policies. It criticizes the 'general status quo' while acknowledging uncertainty about specific military actions, representing legitimate political criticism rather than targeting Jews as Jews or invoking antisemitic tropes."
838,"President  DELIVERS yet another breakthrough for Middle East peace.
 
???? ???? ???? Israel-Morocco peace
 
This agreement was made possible by this President – the historic significance of ALL these agreements cannot be overstated!",0,Israel,None,"This text celebrates a diplomatic achievement regarding Israel-Morocco peace negotiations without containing any antisemitic content, conspiracy theories, or negative stereotypes about Jewish people. It is positive political commentary about diplomatic progress.",False,"This text celebrates a peace agreement between Israel and Morocco, presenting it in positive terms as a breakthrough for Middle East peace. The content does not contain any antisemitic elements, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people, and treats Israel's diplomatic achievements in a factual, celebratory manner.",False,"This text celebrates diplomatic achievements regarding Israel-Morocco peace agreements without targeting Jews as Jews or invoking antisemitic tropes. It is positive political commentary about diplomatic breakthroughs rather than expressing discrimination, prejudice, or hostility against Jewish people."
3518,Totally creepy. Deep down think they hate Jews but think we all need to be in Israel and have the opportunity to convert or die. Thanks but no thanks!,0,Jews,None,"The text expresses suspicion about a group's motivations regarding Jews and Israel, but does not contain antisemitic content itself. It appears to be criticizing what the author perceives as conditional or ulterior support for Jewish people, rather than promoting antisemitic views or stereotypes.",False,"This text appears to be criticizing a particular group's motivations regarding Jews and Israel, but does not contain antisemitic content itself. The speaker is expressing concern about others' attitudes toward Jewish people rather than promoting antisemitic views or stereotypes.",False,"This text expresses suspicion about a group's motivations regarding Jews and Israel, but does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews. The statement appears to be criticizing a particular political or religious group's agenda rather than making antisemitic generalizations about Jewish people themselves."
1333,"U.S. Virgin Islands  (????)
+
Israel (????)
=
U.S. Virgin Israel: https://t.co/tjheZ5bLap",0,Israel,None,"This appears to be a simple wordplay or pun combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. The text does not contain antisemitic tropes, conspiracy theories, or negative characterizations of Jews or Israel - it's just a play on words without hostile content.",False,"This text appears to be a simple wordplay combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. It does not contain any antisemitic tropes, conspiracy theories, Holocaust denial, or other elements defined as antisemitic by the IHRA definition. It appears to be neutral content without targeting Jews collectively or promoting antisemitic stereotypes.",False,"This text appears to be making a play on words combining 'U.S. Virgin Islands' and 'Israel' to create 'U.S. Virgin Israel' with a link. While the intent is unclear, there are no classical antisemitic tropes, conspiracy theories, or targeting of Jews as Jews present in the text."
5843,"Very distressing but not surprising considering the hate ginned up by Republicans over the past few years.  It was inevitable, despite how profoundly distressing it is.  Jews have always been targets.",0,Jews,None,"The text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not itself contain antisemitic content. It appears to be condemning antisemitism rather than promoting it.",False,"This text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not contain any antisemitic content itself. The statement criticizes political rhetoric that may contribute to antisemitism rather than promoting antisemitic views or stereotypes.",False,"This text expresses concern about antisemitism and acknowledges Jews as historical targets of hatred, but does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews. Instead, it appears to be sympathetic commentary about antisemitism being a concerning problem."
4419,"“We Jews - the descendants of Holocaust survivors - cannot and will not remain indifferent to words that would dehumanize LGBT persons.” 
- Board of the Jewish Community of Warsaw 
https://t.co/p52aT4wckI https://t.co/CyvnbXqyfS",0,Jews,None,"This text is a statement from the Jewish Community of Warsaw expressing solidarity with LGBT persons and opposing dehumanization. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews - rather it shows Jewish community members taking a positive moral stance based on their historical experience.",False,"This text is a statement from the Jewish Community of Warsaw expressing solidarity with LGBT persons and opposing dehumanization. It contains no antisemitic content, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people. Instead, it represents Jewish voices speaking out against discrimination.",False,"This text is a statement by the Jewish Community of Warsaw Board expressing solidarity with LGBT persons and opposing dehumanizing language against them. It does not contain any discrimination, prejudice, hostility, or violence against Jews as Jews, nor does it invoke any antisemitic tropes or stereotypes."
534,#BREAKING: Joint statement by the Israeli Ministery of Defense and the Israel Institute for Biological Research: A significant breakthrough has been achieved in finding an antidote to the Corona virus that attacks the virus and can neutralize it in the sick body,0,Israel,None,"This text is a straightforward news announcement about a potential medical breakthrough by Israeli institutions regarding COVID-19 treatment. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews, and is simply reporting on scientific research developments.",False,"This text is a factual news report about a claimed medical breakthrough by Israeli institutions regarding COVID-19 treatment. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jewish people, and does not meet any criteria from the IHRA definition of antisemitism.",False,"This text reports on an Israeli government announcement about a potential COVID-19 treatment breakthrough. It contains no antisemitic content, conspiracy theories, or negative generalizations about Jews. It is simply factual reporting about a scientific development from Israeli institutions."
5934,There's also some jews under the bakery that need reporting to the gestapo.,0,Jews,IHRA Definition,"This text contains a clear reference to reporting Jews to the Gestapo, which calls for harming Jews and invokes Nazi persecution. This constitutes antisemitic content under the IHRA definition as it promotes harm against Jews as a collective group using historical Nazi imagery.",True,"This text explicitly references reporting Jews to the Gestapo, which calls for harming Jews and invokes Nazi persecution. This clearly falls under the IHRA definition as content that calls for or aids in harming Jews, referencing historical mechanisms of Jewish persecution and genocide.",True,"This text references reporting Jews to the Gestapo, which directly invokes Nazi persecution and the Holocaust. It promotes violence and hostility against Jews as Jews by referencing historical mechanisms of Jewish persecution and extermination."
5888,"On this day in 1941, Hitler directs his top officials to draw up plans for the extermination of all Jews in Europe. Joseph Goebbels, who is present for the meeting, records the details in his diary: ""The Führer has decided to make a clean sweep."" https://t.co/E6l1iqpCtz",0,Jews,None,"This text is a factual historical statement about Nazi planning for the Holocaust, referencing Hitler's directive and Goebbels' diary entry. It contains no antisemitic content, conspiracy theories, or negative characterizations of Jews - rather it documents historical persecution of Jews by Nazis.",False,"This text appears to be a factual historical statement about Nazi planning for the Holocaust in 1941, including a quote from Goebbels' diary. It presents historical information about the Holocaust without denial, distortion, or minimization, and does not contain any antisemitic tropes or conspiracy theories.",False,"This text is a factual historical statement about Nazi plans for the Holocaust, referencing Hitler's directive and Goebbels' diary entry. It does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews, nor does it deny or minimize the Holocaust - rather it documents the historical reality of Nazi genocide planning."
1447,"Israel will likely have vaccinated most of its truly vulnerable population within a week or so. It’s taken no breaks, not even for Shabbat - rabbis blessed round-the-clock vaccination because it’s a life-saving activity.",0,Israel,None,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jews, and discusses Israeli policy in a neutral, informational manner.",False,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people, and discusses Israeli policy in a neutral, informational manner similar to how other countries' vaccination efforts might be described.",False,"This text provides factual information about Israel's vaccination program and religious considerations around Shabbat observance. It contains no antisemitic tropes, conspiracy theories, or negative generalizations about Jews as Jews, and appears to be neutral reporting on public health efforts."
